id,pert,gene,label
Rab7_Gpnmb,Rab7,Gpnmb,none
Cog5_Cacna1a,Cog5,Cacna1a,none
Jak1_Ifit2,Jak1,Ifit2,down
Ddx41_Pilrb2,Ddx41,Pilrb2,none
Dad1_Dnajc3,Dad1,Dnajc3,up
Jtb_Sqstm1,Jtb,Sqstm1,up
Adnp_Ctsl,Adnp,Ctsl,down
Sptssa_Tgm2,Sptssa,Tgm2,none
Jtb_Mcoln2,Jtb,Mcoln2,up
Prpf40a_Tspan13,Prpf40a,Tspan13,up
Adnp_Gbp6,Adnp,Gbp6,none
Eftud2_Tlr4,Eftud2,Tlr4,up
Ippk_Slfn1,Ippk,Slfn1,none
Igbp1_Cxcl2,Igbp1,Cxcl2,up
Hsp90ab1_Procr,Hsp90ab1,Procr,none
Vps39_Hipk3,Vps39,Hipk3,none
Smc3_Cd44,Smc3,Cd44,none
Rpl4_Acod1,Rpl4,Acod1,down
Cdc123_Asns,Cdc123,Asns,up
Dpy30_Asph,Dpy30,Asph,up
Ints1_Gapdh,Ints1,Gapdh,none
Dcaf13_AA467197,Dcaf13,AA467197,none
Smg5_Snhg12,Smg5,Snhg12,up
Zfp36_Cotl1,Zfp36,Cotl1,none
Yy1_Lpxn,Yy1,Lpxn,none
Brd2_Gapdh,Brd2,Gapdh,none
Pik3c3_Cd14,Pik3c3,Cd14,none
Sephs1_Slc39a13,Sephs1,Slc39a13,down
Smc3_Rgs18,Smc3,Rgs18,up
Igbp1_Uchl1,Igbp1,Uchl1,none
Ppp6c_Selenow,Ppp6c,Selenow,none
Rhoa_Gpr84,Rhoa,Gpr84,none
Ric1_Sec31a,Ric1,Sec31a,up
Ss18_Cxcl2,Ss18,Cxcl2,none
Rbm14_Oasl1,Rbm14,Oasl1,none
Rtf1_Polr2a,Rtf1,Polr2a,up
Acin1_Fap,Acin1,Fap,up
Wdr43_Tlr3,Wdr43,Tlr3,up
Srsf7_Saa3,Srsf7,Saa3,down
Nol10_Lmna,Nol10,Lmna,none
Pik3c3_Notch1,Pik3c3,Notch1,none
Psmd4_Tuba1c,Psmd4,Tuba1c,none
Fermt3_Itgal,Fermt3,Itgal,down
Cog8_Cxcl1,Cog8,Cxcl1,up
Gspt1_Dnajc3,Gspt1,Dnajc3,none
Tyk2_Fcgr2b,Tyk2,Fcgr2b,none
Ippk_Npy,Ippk,Npy,none
Taf5l_Dock10,Taf5l,Dock10,up
Nfkbiz_Stap1,Nfkbiz,Stap1,down
Lamtor2_Ctsl,Lamtor2,Ctsl,none
Jtb_Gbf1,Jtb,Gbf1,up
Stk11_Hilpda,Stk11,Hilpda,up
Wdr70_Gan,Wdr70,Gan,up
Cd14_Uchl1,Cd14,Uchl1,none
Psmd4_Syngr1,Psmd4,Syngr1,none
Hsp90b1_Clec4n,Hsp90b1,Clec4n,none
Hspa4_Il1b,Hspa4,Il1b,none
Pik3c3_Bin1,Pik3c3,Bin1,none
Atp6v1b2_Hmox1,Atp6v1b2,Hmox1,none
Strap_Tlcd2,Strap,Tlcd2,none
Trappc8_Zfp874b,Trappc8,Zfp874b,none
Yy1_C3,Yy1,C3,none
Stag2_Dner,Stag2,Dner,up
Spout1_Il15,Spout1,Il15,up
Snx13_Cd63,Snx13,Cd63,up
Alg2_Gpr84,Alg2,Gpr84,none
Plrg1_Vcan,Plrg1,Vcan,none
Tgif1_C1qb,Tgif1,C1qb,none
Ddx41_Mtdh,Ddx41,Mtdh,none
Snrnp27_Lmna,Snrnp27,Lmna,up
Igbp1_S100a11,Igbp1,S100a11,none
Tcp1_St3gal5,Tcp1,St3gal5,down
Prpf19_Urah,Prpf19,Urah,none
Ikzf1_Ctsk,Ikzf1,Ctsk,up
Hars_Krtcap2,Hars,Krtcap2,up
Cop1_Uchl1,Cop1,Uchl1,down
Ikzf1_Col18a1,Ikzf1,Col18a1,up
Rack1_E130308A19Rik,Rack1,E130308A19Rik,none
Tlr4_Psma6,Tlr4,Psma6,down
Srcap_Cav1,Srcap,Cav1,up
Pdcd10_Edil3,Pdcd10,Edil3,none
Wtap_Adap2,Wtap,Adap2,none
Mau2_Alcam,Mau2,Alcam,up
Nelfcd_Cd36,Nelfcd,Cd36,up
Rps26_Fam219a,Rps26,Fam219a,none
Plrg1_Gm56743,Plrg1,Gm56743,none
Tcp1_Saa3,Tcp1,Saa3,down
Pten_Pcdh7,Pten,Pcdh7,none
Uvrag_Nek10,Uvrag,Nek10,none
Mnt_Gan,Mnt,Gan,none
Cog8_Capn5,Cog8,Capn5,none
Sephs1_Xylt2,Sephs1,Xylt2,none
Jtb_Pik3cb,Jtb,Pik3cb,none
Cct2_Prdx5,Cct2,Prdx5,down
Dhx15_Tomm20,Dhx15,Tomm20,none
Cwc15_Gpnmb,Cwc15,Gpnmb,up
Pafah1b1_Fxyd2,Pafah1b1,Fxyd2,none
Mau2_Pla2g12a,Mau2,Pla2g12a,none
Vps39_S100a8,Vps39,S100a8,none
Ap3b1_Cmpk2,Ap3b1,Cmpk2,up
Gspt1_Sqstm1,Gspt1,Sqstm1,none
Rnf40_Mcrip2,Rnf40,Mcrip2,none
Nrbf2_Hmox1,Nrbf2,Hmox1,none
Yy1_Map1lc3a,Yy1,Map1lc3a,up
Ube2h_Maf,Ube2h,Maf,down
Cpsf4_Tlcd2,Cpsf4,Tlcd2,up
Rpp21_Asns,Rpp21,Asns,up
Cdc123_Inhba,Cdc123,Inhba,none
Mta2_Cd36,Mta2,Cd36,none
Dda1_Exoc6b,Dda1,Exoc6b,none
Dpm1_Chpf,Dpm1,Chpf,none
Oxsr1_Marcks,Oxsr1,Marcks,none
Nelfb_Snhg1,Nelfb,Snhg1,none
Wnk1_Slc4a7,Wnk1,Slc4a7,none
Vps33a_Lipa,Vps33a,Lipa,up
Nolc1_Cfp,Nolc1,Cfp,none
Nob1_Cotl1,Nob1,Cotl1,down
Wnk1_Ahnak,Wnk1,Ahnak,up
Slc33a1_P4hb,Slc33a1,P4hb,up
Sptssa_Etnk1,Sptssa,Etnk1,none
Zfp36_Snhg15,Zfp36,Snhg15,none
Tyk2_Prkacb,Tyk2,Prkacb,none
Prpf19_Prdx5,Prpf19,Prdx5,down
Rbck1_Stk17b,Rbck1,Stk17b,up
Scap_Aph1c,Scap,Aph1c,up
Nelfa_Selenow,Nelfa,Selenow,down
Polr1f_Axdnd1,Polr1f,Axdnd1,none
Prpf19_Creld2,Prpf19,Creld2,none
Ss18_Ctsc,Ss18,Ctsc,none
Mafb_Folr2,Mafb,Folr2,down
Dda1_Cfp,Dda1,Cfp,none
Cmtr1_Sap30,Cmtr1,Sap30,up
Pias1_Gngt2,Pias1,Gngt2,up
Hyou1_Dclre1b,Hyou1,Dclre1b,none
Snrnp27_Actb,Snrnp27,Actb,none
Wnk1_Acod1,Wnk1,Acod1,none
Ric1_Il7r,Ric1,Il7r,none
Rcl1_Aif1,Rcl1,Aif1,none
Alg2_Osgin1,Alg2,Osgin1,none
Ptpn2_Npy,Ptpn2,Npy,none
Ccdc22_Rnf128,Ccdc22,Rnf128,none
Ube4b_Cd72,Ube4b,Cd72,none
Xpo1_D030025P21Rik,Xpo1,D030025P21Rik,none
Fbxo11_Cd9,Fbxo11,Cd9,down
Cpsf4_H2-Q7,Cpsf4,H2-Q7,none
Sec63_Pdia3,Sec63,Pdia3,up
Ints1_Pik3r1,Ints1,Pik3r1,none
Ddx6_Med29,Ddx6,Med29,up
Ippk_Tent5a,Ippk,Tent5a,up
Actr10_Ccrl2,Actr10,Ccrl2,up
Trrap_Ifit3b,Trrap,Ifit3b,up
Ptpn11_Ms4a4a,Ptpn11,Ms4a4a,up
Cct3_Sqstm1,Cct3,Sqstm1,none
Alg2_Krtcap2,Alg2,Krtcap2,up
Ccdc22_Stap1,Ccdc22,Stap1,down
Klf6_Zfyve27,Klf6,Zfyve27,none
Nprl2_Osbpl8,Nprl2,Osbpl8,none
Cog3_Ctsl,Cog3,Ctsl,none
Dcaf13_Mylk,Dcaf13,Mylk,none
Cdc123_Fmr1,Cdc123,Fmr1,none
Rragc_Glrx,Rragc,Glrx,down
Smg5_Tcf4,Smg5,Tcf4,none
Hspa4_Ccrl2,Hspa4,Ccrl2,up
Cct7_Msrb1,Cct7,Msrb1,down
Rbm14_Apbb2,Rbm14,Apbb2,none
Rbm14_Prdx1,Rbm14,Prdx1,none
Rragc_Gpnmb,Rragc,Gpnmb,up
Yrdc_Krtcap2,Yrdc,Krtcap2,up
Ccdc22_Nes,Ccdc22,Nes,down
Pik3r4_Ccl9,Pik3r4,Ccl9,down
Polr1f_Mir22hg,Polr1f,Mir22hg,up
Hnrnpu_Neat1,Hnrnpu,Neat1,up
Tbc1d10b_Gclm,Tbc1d10b,Gclm,none
Eftud2_Dynlt1f,Eftud2,Dynlt1f,none
Chmp5_Prdx1,Chmp5,Prdx1,up
Hyou1_Pdia3,Hyou1,Pdia3,up
Ehmt2_Selenop,Ehmt2,Selenop,up
Junb_Hcar2,Junb,Hcar2,down
Pias1_4933439K11Rik,Pias1,4933439K11Rik,none
Tnpo3_Gpx4,Tnpo3,Gpx4,up
Slc33a1_Nlrp3,Slc33a1,Nlrp3,none
Bloc1s1_Lipa,Bloc1s1,Lipa,up
Ash2l_Tent5a,Ash2l,Tent5a,up
Rcl1_Ccrl2,Rcl1,Ccrl2,none
Mta2_Ly6a,Mta2,Ly6a,up
Rpn2_Igsf6,Rpn2,Igsf6,none
Dad1_Wipf1,Dad1,Wipf1,none
Actl6a_Sdc1,Actl6a,Sdc1,none
Scap_Plpp3,Scap,Plpp3,up
Ss18_Sgms1,Ss18,Sgms1,none
Mbtps2_Mxd1,Mbtps2,Mxd1,none
Rnf40_Socs1,Rnf40,Socs1,none
Rack1_Pla2g4b,Rack1,Pla2g4b,none
Ss18_Hif1a,Ss18,Hif1a,none
Mtor_Bhlhe41,Mtor,Bhlhe41,none
Cog5_Ifnb1,Cog5,Ifnb1,none
Cct7_Creg1,Cct7,Creg1,none
Rhoa_Fcgr4,Rhoa,Fcgr4,down
Tgif1_Ifi205,Tgif1,Ifi205,none
Mms22l_Cdk18,Mms22l,Cdk18,up
Wdr43_Irgm1,Wdr43,Irgm1,none
Mapk14_Blvrb,Mapk14,Blvrb,down
Kars_Fh1,Kars,Fh1,none
Mcm4_Dock10,Mcm4,Dock10,none
Ints1_Gsto1,Ints1,Gsto1,up
Hsp90b1_Cox6a2,Hsp90b1,Cox6a2,none
Actr10_Gpr84,Actr10,Gpr84,down
Plrg1_Cd180,Plrg1,Cd180,up
Rps19_Gls,Rps19,Gls,up
Meaf6_Glrx,Meaf6,Glrx,none
Plrg1_Dcxr,Plrg1,Dcxr,none
Cdc123_Lgals3,Cdc123,Lgals3,none
Gpn2_Ctsh,Gpn2,Ctsh,up
Uxt_Ctsh,Uxt,Ctsh,up
Cog5_Pck2,Cog5,Pck2,up
Elavl1_Resf1,Elavl1,Resf1,up
Ptpa_Polr2g,Ptpa,Polr2g,up
Spout1_Cd68,Spout1,Cd68,none
Tcp1_Gyg,Tcp1,Gyg,none
Wdr1_Dstn,Wdr1,Dstn,up
Junb_Denr,Junb,Denr,down
Gpn2_Igf1,Gpn2,Igf1,none
Tyk2_Lyz1,Tyk2,Lyz1,none
Rbm15_Litaf,Rbm15,Litaf,none
Spout1_Rsad2,Spout1,Rsad2,up
Pik3c3_Selenow,Pik3c3,Selenow,down
Ptpn11_1110038B12Rik,Ptpn11,1110038B12Rik,none
Trrap_C3,Trrap,C3,up
Vps41_Det1,Vps41,Det1,none
Atp6v1a_Gpnmb,Atp6v1a,Gpnmb,up
Rbck1_Malt1,Rbck1,Malt1,down
Atxn7l3_Pf4,Atxn7l3,Pf4,none
Ctdnep1_Klf6,Ctdnep1,Klf6,down
Ube2h_Ms4a6b,Ube2h,Ms4a6b,none
Mideas_Tspan13,Mideas,Tspan13,none
Pfdn6_Heatr9,Pfdn6,Heatr9,up
Acin1_Rabac1,Acin1,Rabac1,none
Lamtor2_Bhlhe41,Lamtor2,Bhlhe41,up
Ss18_P4hb,Ss18,P4hb,none
Wdr70_Ndufa4,Wdr70,Ndufa4,none
Pfdn6_Vma21,Pfdn6,Vma21,none
Rcl1_Utrn,Rcl1,Utrn,none
Bloc1s1_Prdx1,Bloc1s1,Prdx1,up
Cdkn1a_Ahnak,Cdkn1a,Ahnak,none
Rb1cc1_Polr2g,Rb1cc1,Polr2g,up
Rpl10_Gbp5,Rpl10,Gbp5,up
Ctdnep1_9230114K14Rik,Ctdnep1,9230114K14Rik,none
Rpl4_Cpe,Rpl4,Cpe,none
Med20_Serinc3,Med20,Serinc3,up
Ric1_Ccl9,Ric1,Ccl9,none
Dhx15_Lpp,Dhx15,Lpp,none
Nkap_Selenow,Nkap,Selenow,down
Taf5l_Nqo1,Taf5l,Nqo1,none
Ticam2_Calr,Ticam2,Calr,none
Rtf1_Glrx,Rtf1,Glrx,none
Sptlc1_Phlda3,Sptlc1,Phlda3,none
Sart3_Rftn1,Sart3,Rftn1,none
Nfyc_Acod1,Nfyc,Acod1,none
Snx14_Junb,Snx14,Junb,none
Virma_Clec4n,Virma,Clec4n,up
Rps3_Gbp8,Rps3,Gbp8,up
Gtf2a2_Ccl9,Gtf2a2,Ccl9,down
Syvn1_Pced1b,Syvn1,Pced1b,none
Ddx5_Creg1,Ddx5,Creg1,none
Elavl1_Msrb1,Elavl1,Msrb1,none
Alg2_Hsp90b1,Alg2,Hsp90b1,up
Smg5_Slfn1,Smg5,Slfn1,none
Snx14_Procr,Snx14,Procr,none
Pten_Ckb,Pten,Ckb,up
Sptlc1_Vcan,Sptlc1,Vcan,up
Cdkn1a_Myb,Cdkn1a,Myb,none
Rbck1_Mir142hg,Rbck1,Mir142hg,none
Rpl10_Gstm5,Rpl10,Gstm5,none
Nop16_Trib3,Nop16,Trib3,none
Mnt_Tnfaip2,Mnt,Tnfaip2,none
Derl2_Pdia3,Derl2,Pdia3,up
Rack1_Dnajc3,Rack1,Dnajc3,none
Med29_Fndc3b,Med29,Fndc3b,up
Psmd4_Ecpas,Psmd4,Ecpas,up
Ndc80_Bnip3,Ndc80,Bnip3,none
Rpl4_Spryd7,Rpl4,Spryd7,up
Dda1_Ccnd1,Dda1,Ccnd1,none
Ss18_Piezo1,Ss18,Piezo1,none
Srsf10_Evi2a,Srsf10,Evi2a,down
Med20_Hmox1,Med20,Hmox1,down
Nelfcd_Akr1a1,Nelfcd,Akr1a1,up
Rpn2_Ms4a4c,Rpn2,Ms4a4c,none
Ticam2_Smc4,Ticam2,Smc4,none
Sephs1_Tlr2,Sephs1,Tlr2,none
Rptor_Malt1,Rptor,Malt1,up
Sel1l_Ifit2,Sel1l,Ifit2,none
Trem2_S100a10,Trem2,S100a10,down
Dad1_Hspa5,Dad1,Hspa5,up
Xpo1_Ccrl2,Xpo1,Ccrl2,none
Dpm1_Manf,Dpm1,Manf,up
Cct5_Tuba1c,Cct5,Tuba1c,up
Smc3_Acod1,Smc3,Acod1,down
Psmd4_Mmp12,Psmd4,Mmp12,none
Psmd4_Creg1,Psmd4,Creg1,up
Pfdn6_Ccl7,Pfdn6,Ccl7,none
Atp6v1a_Gstm5,Atp6v1a,Gstm5,none
Wdr43_Actb,Wdr43,Actb,down
Rbbp6_Creg1,Rbbp6,Creg1,none
Rack1_Ppp1r14b,Rack1,Ppp1r14b,none
Dpy30_Tgm2,Dpy30,Tgm2,down
Vps41_Creg1,Vps41,Creg1,up
Rtf1_Pgk1,Rtf1,Pgk1,none
Polr1f_Clec4a1,Polr1f,Clec4a1,none
Med20_Cxcl2,Med20,Cxcl2,none
Tnfaip3_Ifi205,Tnfaip3,Ifi205,none
Ikzf1_Cav1,Ikzf1,Cav1,up
Vps18_Glrx,Vps18,Glrx,down
Rpl4_Odf2,Rpl4,Odf2,none
Brd2_Ddx60,Brd2,Ddx60,up
Hsp90b1_Uchl1,Hsp90b1,Uchl1,none
Spop_Blvrb,Spop,Blvrb,down
Cmtr1_Odc1,Cmtr1,Odc1,none
Rbck1_Asns,Rbck1,Asns,none
Ube4b_Fcgr4,Ube4b,Fcgr4,up
Cmtr1_H3f3b,Cmtr1,H3f3b,up
Gspt1_Herpud1,Gspt1,Herpud1,none
Dad1_H2bc21,Dad1,H2bc21,none
Elavl1_Syngr1,Elavl1,Syngr1,none
Yrdc_Sqstm1,Yrdc,Sqstm1,up
Ash2l_2310009B15Rik,Ash2l,2310009B15Rik,none
Spout1_Tcf4,Spout1,Tcf4,up
Zbtb17_Hif1a,Zbtb17,Hif1a,none
Rpl10_Cflar,Rpl10,Cflar,up
Mta2_Slc16a3,Mta2,Slc16a3,none
Il10rb_Ggta1,Il10rb,Ggta1,down
Cdc42_Cd72,Cdc42,Cd72,down
Gpn2_Fam111a,Gpn2,Fam111a,up
Ctdspl2_C1qb,Ctdspl2,C1qb,down
Cwc15_B4galt5,Cwc15,B4galt5,up
Mbd2_Clec4e,Mbd2,Clec4e,down
Igbp1_Prdx1,Igbp1,Prdx1,up
Mcm4_Tmem43,Mcm4,Tmem43,up
Gtf2a2_Hsd17b10,Gtf2a2,Hsd17b10,none
Wtap_Ccrl2,Wtap,Ccrl2,up
Vps18_Gm56654,Vps18,Gm56654,none
Psmd4_Igtp,Psmd4,Igtp,none
Trem2_Fxyd2,Trem2,Fxyd2,none
Mapk14_Cd84,Mapk14,Cd84,down
Nfkbiz_Socs7,Nfkbiz,Socs7,none
Brd2_Rsad2,Brd2,Rsad2,up
Usp39_Thoc5,Usp39,Thoc5,none
Tgif1_S100a1,Tgif1,S100a1,up
Cog3_Cd72,Cog3,Cd72,none
Gspt1_Ifit2,Gspt1,Ifit2,none
Gspt1_Mmp12,Gspt1,Mmp12,none
Tmem258_Nhsl2,Tmem258,Nhsl2,none
Mnt_Fnbp1l,Mnt,Fnbp1l,none
Acin1_Il15,Acin1,Il15,none
Il10ra_Rasgef1b,Il10ra,Rasgef1b,up
Adnp_Ago3,Adnp,Ago3,none
Mideas_Cxcl10,Mideas,Cxcl10,none
Slc33a1_Manf,Slc33a1,Manf,up
Snapc3_Vmp1,Snapc3,Vmp1,up
Trrap_Selenop,Trrap,Selenop,none
Sptssa_Fam111a,Sptssa,Fam111a,none
Psmd4_Ms4a4c,Psmd4,Ms4a4c,down
Setd2_Calhm6,Setd2,Calhm6,none
Mideas_Arl11,Mideas,Arl11,up
Il10rb_Cxcl2,Il10rb,Cxcl2,up
Ints1_Utrn,Ints1,Utrn,up
Virma_Ccrl2,Virma,Ccrl2,up
Cpsf4_Ckb,Cpsf4,Ckb,none
Brd2_Hcar2,Brd2,Hcar2,none
Dcaf7_Il1rn,Dcaf7,Il1rn,none
Ticam2_Malt1,Ticam2,Malt1,down
Ints1_Nampt,Ints1,Nampt,none
Mms22l_H2-T24,Mms22l,H2-T24,down
Pafah1b1_Ctsl,Pafah1b1,Ctsl,up
Ints1_Gpr84,Ints1,Gpr84,none
Prpf19_Tmem43,Prpf19,Tmem43,none
Tbc1d10b_Eif5,Tbc1d10b,Eif5,none
Cct3_Rbms1,Cct3,Rbms1,up
Dcaf7_Uchl1,Dcaf7,Uchl1,down
Uvrag_H2-Q7,Uvrag,H2-Q7,none
Zbtb17_Cyb5r1,Zbtb17,Cyb5r1,none
Rbbp6_Mmp14,Rbbp6,Mmp14,none
Traf6_Smox,Traf6,Smox,none
Dpm3_Foxo3,Dpm3,Foxo3,up
Hspa4_Pon3,Hspa4,Pon3,none
Tnfrsf1a_Lmo4,Tnfrsf1a,Lmo4,down
Mcm4_AW554918,Mcm4,AW554918,down
Cct7_Pald1,Cct7,Pald1,none
Csnk1a1_Anxa3,Csnk1a1,Anxa3,up
Il10ra_Mmp12,Il10ra,Mmp12,none
Nkap_AW554918,Nkap,AW554918,none
Actl6a_Prr13,Actl6a,Prr13,none
Ric1_Cxcl2,Ric1,Cxcl2,up
Cdc42_Cd36,Cdc42,Cd36,up
Trrap_Mrc1,Trrap,Mrc1,none
Rtf1_Abca1,Rtf1,Abca1,none
Taf5l_Ctsl,Taf5l,Ctsl,down
Rpl35_Mthfs,Rpl35,Mthfs,none
Wdr3_Lgals3,Wdr3,Lgals3,none
Tnpo3_Mthfs,Tnpo3,Mthfs,up
Nfkbiz_Ptafr,Nfkbiz,Ptafr,up
Traf6_Pcdh7,Traf6,Pcdh7,none
Snrnp27_Morrbid,Snrnp27,Morrbid,none
Hsp90ab1_Itgal,Hsp90ab1,Itgal,none
Eftud2_S100a6,Eftud2,S100a6,up
Ddx6_Taf12,Ddx6,Taf12,none
Igbp1_Sqstm1,Igbp1,Sqstm1,up
Wdr70_Mdc1,Wdr70,Mdc1,up
Rbck1_Mgst1,Rbck1,Mgst1,none
Elavl1_Itga4,Elavl1,Itga4,none
Cpsf4_2310009B15Rik,Cpsf4,2310009B15Rik,up
Kars_Slc3a2,Kars,Slc3a2,up
Bap1_Npy,Bap1,Npy,down
Uvrag_Dnajc3,Uvrag,Dnajc3,none
Tyk2_Rsad2,Tyk2,Rsad2,down
Rtf1_Fam111a,Rtf1,Fam111a,up
Rpn2_Brms1l,Rpn2,Brms1l,none
Mbd2_Psma6,Mbd2,Psma6,none
Dcaf13_Taldo1,Dcaf13,Taldo1,down
Fth1_Esd,Fth1,Esd,up
Wnk1_Npy,Wnk1,Npy,up
Ptpa_S100a10,Ptpa,S100a10,up
Rrp1_Npy,Rrp1,Npy,none
Pias1_Ftl1,Pias1,Ftl1,none
Snx13_S100a1,Snx13,S100a1,up
Mms22l_Glrx,Mms22l,Glrx,none
Kars_Actb,Kars,Actb,down
Tbc1d10b_Gpr137b,Tbc1d10b,Gpr137b,up
Cwc15_Ifit2,Cwc15,Ifit2,up
Rcl1_Ctla2a,Rcl1,Ctla2a,up
Wdr1_Fam162a,Wdr1,Fam162a,none
Mapk14_H3f3b,Mapk14,H3f3b,none
Rela_Etnk1,Rela,Etnk1,none
Rptor_Prdx1,Rptor,Prdx1,none
Ehmt2_Ifit2,Ehmt2,Ifit2,none
Ikzf1_S100a10,Ikzf1,S100a10,up
