id,pert,gene,label
Ifnar1_Ms4a4c,Ifnar1,Ms4a4c,down
Phb2_Ifit2,Phb2,Ifit2,none
Kat5_Cd9,Kat5,Cd9,none
Ash2l_Prdx5,Ash2l,Prdx5,down
Rpn1_Manf,Rpn1,Manf,up
Gins2_Ccnd1,Gins2,Ccnd1,up
Nelfa_Cd36,Nelfa,Cd36,up
Naa35_Lima1,Naa35,Lima1,down
Ddost_Psma6,Ddost,Psma6,down
Cct3_Ms4a6b,Cct3,Ms4a6b,down
Atxn7l3_Picalm,Atxn7l3,Picalm,down
Nrbf2_Uchl1,Nrbf2,Uchl1,none
Ube2m_Akr1a1,Ube2m,Akr1a1,up
Cct4_Selenow,Cct4,Selenow,down
Gpn2_Saa3,Gpn2,Saa3,down
Adnp_Alox5ap,Adnp,Alox5ap,down
Atp6v1e1_Selenow,Atp6v1e1,Selenow,down
Smarcd2_Kctd12,Smarcd2,Kctd12,up
Tcp1_Ddit3,Tcp1,Ddit3,none
Wnk1_Plaur,Wnk1,Plaur,up
Ncor2_Maf,Ncor2,Maf,up
Srsf7_Fcgr2b,Srsf7,Fcgr2b,down
Pias1_4933439K11Rik,Pias1,4933439K11Rik,none
Sptssa_Blvrb,Sptssa,Blvrb,down
Rbm14_Fzd1,Rbm14,Fzd1,up
Mta2_Cd36,Mta2,Cd36,none
Ddost_Hspa5,Ddost,Hspa5,up
Smc3_Il1rn,Smc3,Il1rn,down
Strap_St3gal5,Strap,St3gal5,down
Gtf2h1_Selenow,Gtf2h1,Selenow,none
Dad1_Manf,Dad1,Manf,up
Virma_Polr2a,Virma,Polr2a,none
Srsf1_Gm31105,Srsf1,Gm31105,none
Ss18_Fcgr2b,Ss18,Fcgr2b,none
Med20_Il1rn,Med20,Il1rn,down
Ppp2r2a_AA467197,Ppp2r2a,AA467197,down
Dcaf13_Uchl1,Dcaf13,Uchl1,down
Psmg4_Mgst1,Psmg4,Mgst1,up
Clp1_Cd69,Clp1,Cd69,none
Rack1_Dnajc3,Rack1,Dnajc3,none
Pfn1_Ccr5,Pfn1,Ccr5,up
Traf2_Ctsk,Traf2,Ctsk,up
Actr6_Ms4a6b,Actr6,Ms4a6b,down
Clp1_Atf5,Clp1,Atf5,none
Stag2_Gclm,Stag2,Gclm,up
Actl6a_Ifi27,Actl6a,Ifi27,up
Dad1_E130308A19Rik,Dad1,E130308A19Rik,none
Mapkapk2_Lrp1,Mapkapk2,Lrp1,down
Cdkn1a_Cxcl14,Cdkn1a,Cxcl14,none
Srsf1_Ifit3,Srsf1,Ifit3,none
Sec13_Gbf1,Sec13,Gbf1,up
Rpl35_Mthfs,Rpl35,Mthfs,none
Syvn1_Ddit3,Syvn1,Ddit3,up
Tmem258_Creld2,Tmem258,Creld2,up
Mbd2_Msrb1,Mbd2,Msrb1,none
Atp6v1e1_Gdf15,Atp6v1e1,Gdf15,up
Pdcd10_S100a8,Pdcd10,S100a8,up
Ctdspl2_Gpnmb,Ctdspl2,Gpnmb,up
Dnajc8_Itgal,Dnajc8,Itgal,down
Dhx15_H3f3b,Dhx15,H3f3b,up
Atg101_Il15,Atg101,Il15,up
Ints1_Ms4a4c,Ints1,Ms4a4c,down
Vps39_Cd63,Vps39,Cd63,up
Virma_Creg1,Virma,Creg1,up
Egln1_Pik3cd,Egln1,Pik3cd,none
Slc33a1_P4hb,Slc33a1,P4hb,up
Cct7_Saa3,Cct7,Saa3,down
Mcm4_Zfp263,Mcm4,Zfp263,none
Ptpa_Ccnd1,Ptpa,Ccnd1,up
Tsc2_Gpnmb,Tsc2,Gpnmb,up
Emc3_Clec4n,Emc3,Clec4n,none
Abi1_Thbs1,Abi1,Thbs1,none
Taf5l_Glrx,Taf5l,Glrx,down
Med25_Cd36,Med25,Cd36,down
Lamtor4_Uchl5,Lamtor4,Uchl5,none
Tyk2_Ifit2,Tyk2,Ifit2,down
Srsf1_Nop10,Srsf1,Nop10,up
Urm1_Rasgef1b,Urm1,Rasgef1b,none
Telo2_Clec7a,Telo2,Clec7a,up
Rcl1_Gpnmb,Rcl1,Gpnmb,up
Rc3h1_C3,Rc3h1,C3,down
Pten_Csf3r,Pten,Csf3r,down
Snapc3_Gm29340,Snapc3,Gm29340,up
Tbk1_Lmna,Tbk1,Lmna,none
Hsp90b1_Psma6,Hsp90b1,Psma6,down
Ddx6_Med29,Ddx6,Med29,up
Cog8_Selenow,Cog8,Selenow,down
Ddx41_Selenow,Ddx41,Selenow,down
Cmtr1_Trem2,Cmtr1,Trem2,none
Ric1_Cd72,Ric1,Cd72,down
Ankrd11_Plxdc2,Ankrd11,Plxdc2,down
Rb1cc1_Cd72,Rb1cc1,Cd72,down
Nrbf2_Rin2,Nrbf2,Rin2,none
Ddx18_Ift22,Ddx18,Ift22,none
Eftud2_Lmna,Eftud2,Lmna,up
Ddx5_Gm11613,Ddx5,Gm11613,up
Dcaf7_Glrx,Dcaf7,Glrx,none
Sart3_Lgals3,Sart3,Lgals3,up
Telo2_Klhl24,Telo2,Klhl24,up
Heatr1_Alox5ap,Heatr1,Alox5ap,down
Pafah1b1_Gpnmb,Pafah1b1,Gpnmb,up
Gins2_Fcgr2b,Gins2,Fcgr2b,down
Trappc8_Dnajc3,Trappc8,Dnajc3,none
Junb_Pf4,Junb,Pf4,none
Ppp2r3c_Rad51b,Ppp2r3c,Rad51b,none
Rcl1_Uchl1,Rcl1,Uchl1,down
Il10rb_Ifitm2,Il10rb,Ifitm2,down
Psmd4_Pilra,Psmd4,Pilra,none
Wdr1_Selenow,Wdr1,Selenow,down
Dda1_Cfb,Dda1,Cfb,down
Nolc1_Cfp,Nolc1,Cfp,none
Cct4_Ly86,Cct4,Ly86,none
Gpn2_Ctsh,Gpn2,Ctsh,up
Nfkbiz_Saa3,Nfkbiz,Saa3,down
Ss18_Slamf9,Ss18,Slamf9,none
Atxn7l3_Hif1a,Atxn7l3,Hif1a,down
Mtor_Tubb6,Mtor,Tubb6,none
Nolc1_Fcgr2b,Nolc1,Fcgr2b,down
Nolc1_Sqstm1,Nolc1,Sqstm1,none
Traf2_Lmna,Traf2,Lmna,up
Copz1_Gbf1,Copz1,Gbf1,up
Ddx5_Sqstm1,Ddx5,Sqstm1,none
Traf3_Ifit2,Traf3,Ifit2,none
Srsf1_Creg1,Srsf1,Creg1,up
Mideas_Cd164,Mideas,Cd164,down
Adnp_Lgals3,Adnp,Lgals3,down
Zbtb17_Pld4,Zbtb17,Pld4,down
Ifnar1_Ifi205,Ifnar1,Ifi205,down
Prpf40a_Lrmda,Prpf40a,Lrmda,down
Tmem258_Ifitm6,Tmem258,Ifitm6,none
Cog8_Glrx,Cog8,Glrx,none
Ly96_Sdc1,Ly96,Sdc1,none
Rps26_Irf2bp2,Rps26,Irf2bp2,none
Exosc7_Gm57397,Exosc7,Gm57397,up
Dcaf7_Cd36,Dcaf7,Cd36,down
Telo2_2610037D02Rik,Telo2,2610037D02Rik,up
Fbxo11_Bcl6,Fbxo11,Bcl6,down
Yeats4_Man1a,Yeats4,Man1a,up
Zbtb17_Cyb5r1,Zbtb17,Cyb5r1,none
Sec13_Heca,Sec13,Heca,up
Gtf2a2_H4c9,Gtf2a2,H4c9,up
Tbc1d10b_Cd36,Tbc1d10b,Cd36,none
Stag2_Lst1,Stag2,Lst1,up
Mnt_Crip1,Mnt,Crip1,down
Ptpa_Fcgr2b,Ptpa,Fcgr2b,down
Dusp1_Hspa1b,Dusp1,Hspa1b,none
Atf4_Mxd1,Atf4,Mxd1,down
Zfp36_Ifrd1,Zfp36,Ifrd1,down
Srsf1_Syngr1,Srsf1,Syngr1,up
Wdr1_Alox5ap,Wdr1,Alox5ap,down
Ctdnep1_Gpr84,Ctdnep1,Gpr84,up
Ddx5_Tpi1,Ddx5,Tpi1,none
Il10ra_Marchf1,Il10ra,Marchf1,down
Setd2_Dnajc3,Setd2,Dnajc3,none
Arpc3_Fmnl2,Arpc3,Fmnl2,none
Tsc2_Syngr1,Tsc2,Syngr1,up
Scap_Rsad2,Scap,Rsad2,none
E4f1_C3,E4f1,C3,down
Bap1_Syt11,Bap1,Syt11,none
Kat5_Alox5ap,Kat5,Alox5ap,down
Rpap2_Pilra,Rpap2,Pilra,none
Rheb_C1qb,Rheb,C1qb,down
Leng1_Sqstm1,Leng1,Sqstm1,none
Ttc1_Btg1,Ttc1,Btg1,up
Psmd4_Smpdl3a,Psmd4,Smpdl3a,up
Emc7_Procr,Emc7,Procr,down
Mnt_Zfp281,Mnt,Zfp281,none
Abi1_Cd36,Abi1,Cd36,none
Suz12_Plxdc2,Suz12,Plxdc2,up
Leo1_Igtp,Leo1,Igtp,up
Wdr3_1110038B12Rik,Wdr3,1110038B12Rik,up
Bap1_Lmna,Bap1,Lmna,up
Ddx41_Lmna,Ddx41,Lmna,up
Tnfrsf1a_Osbpl8,Tnfrsf1a,Osbpl8,none
Traf6_Urah,Traf6,Urah,up
Rpap2_Polr2a,Rpap2,Polr2a,up
Cct7_Fcgr2b,Cct7,Fcgr2b,down
Pfn1_Hp,Pfn1,Hp,down
Dph3_Trem2,Dph3,Trem2,up
Jak1_H2-T22,Jak1,H2-T22,down
Uxt_Saa3,Uxt,Saa3,down
Rngtt_Saa3,Rngtt,Saa3,down
Hyou1_Gpr84,Hyou1,Gpr84,none
Hsp90ab1_Vwa5a,Hsp90ab1,Vwa5a,up
Gins2_Vma21,Gins2,Vma21,down
Atp6v1b2_Procr,Atp6v1b2,Procr,none
Atp6ap2_Ms4a6b,Atp6ap2,Ms4a6b,down
Eif2s1_Hipk1,Eif2s1,Hipk1,up
Nolc1_Cd69,Nolc1,Cd69,up
Mbtps2_Aif1,Mbtps2,Aif1,down
Il10ra_Saa3,Il10ra,Saa3,down
Stag2_Cpe,Stag2,Cpe,down
Txnl4a_Lgals3,Txnl4a,Lgals3,up
Mau2_Cd63,Mau2,Cd63,up
Actr6_Glrx,Actr6,Glrx,down
Gins3_Tmcc3,Gins3,Tmcc3,none
Setd2_Cxcl1,Setd2,Cxcl1,none
Smg5_1110038B12Rik,Smg5,1110038B12Rik,up
Ints1_Magi3,Ints1,Magi3,up
Gtf2a2_Zfp512,Gtf2a2,Zfp512,none
Wnk1_Fcgr2b,Wnk1,Fcgr2b,none
Mideas_Adam8,Mideas,Adam8,up
Sec13_Tnc,Sec13,Tnc,none
Gspt1_C3,Gspt1,C3,none
Tcp1_St3gal5,Tcp1,St3gal5,down
Ctdspl2_Gadd45b,Ctdspl2,Gadd45b,none
Ttc1_Ptpn6,Ttc1,Ptpn6,down
Dusp1_Itga4,Dusp1,Itga4,down
Chd4_Dock10,Chd4,Dock10,up
Med25_Ttyh2,Med25,Ttyh2,none
Tirap_Saa3,Tirap,Saa3,down
Top3a_Ifi27,Top3a,Ifi27,up
Il10rb_Marchf1,Il10rb,Marchf1,down
Ubr4_Lgals3,Ubr4,Lgals3,up
Tgif1_Cdkn2d,Tgif1,Cdkn2d,up
Hspa4_Arhgap31,Hspa4,Arhgap31,down
Jak1_Akr1a1,Jak1,Akr1a1,none
Vps18_Lgals3,Vps18,Lgals3,up
Sec63_R3hdm1,Sec63,R3hdm1,none
Oxsr1_Hivep3,Oxsr1,Hivep3,down
Lamtor4_Lhfpl2,Lamtor4,Lhfpl2,up
Mapk14_Pilra,Mapk14,Pilra,none
Gpn2_Anxa3,Gpn2,Anxa3,none
Vps4b_Grpel2,Vps4b,Grpel2,none
Irf2_Sec24b,Irf2,Sec24b,up
Srsf7_Saa3,Srsf7,Saa3,down
Kdsr_Hspa1a,Kdsr,Hspa1a,up
Tyk2_Gm4951,Tyk2,Gm4951,down
Vps18_Creg1,Vps18,Creg1,up
Rps19_Cd36,Rps19,Cd36,up
Scap_Lhfpl2,Scap,Lhfpl2,up
Cnot2_Akr1a1,Cnot2,Akr1a1,none
Wdr61_Saa3,Wdr61,Saa3,down
2310011J03Rik_Alas1,2310011J03Rik,Alas1,none
Ly96_Ifitm2,Ly96,Ifitm2,down
Nrbp1_Cd36,Nrbp1,Cd36,up
Actr10_Pilra,Actr10,Pilra,down
Hsp90ab1_Macir,Hsp90ab1,Macir,up
Ly96_Fap,Ly96,Fap,none
Irf2_Klhl24,Irf2,Klhl24,none
Sel1l_Hspa5,Sel1l,Hspa5,up
Sephs1_Slc39a13,Sephs1,Slc39a13,down
Nob1_Ccnd1,Nob1,Ccnd1,none
Snrnp27_Clec4d,Snrnp27,Clec4d,none
Pten_Fcgr2b,Pten,Fcgr2b,down
Jak1_Irgm1,Jak1,Irgm1,down
Ippk_Osbpl3,Ippk,Osbpl3,down
Nipbl_Ms4a6b,Nipbl,Ms4a6b,down
Bloc1s1_Eif5,Bloc1s1,Eif5,none
Tardbp_Grina,Tardbp,Grina,up
Mapkapk2_Aif1,Mapkapk2,Aif1,down
Ddost_Ddit3,Ddost,Ddit3,up
Tpr_H2-Ab1,Tpr,H2-Ab1,up
Sephs1_Hspa1a,Sephs1,Hspa1a,down
Mtor_Ckb,Mtor,Ckb,down
Dph3_Bst1,Dph3,Bst1,none
Tmem258_Dnajc3,Tmem258,Dnajc3,up
Rack1_H3f3b,Rack1,H3f3b,up
Eif5_C1qb,Eif5,C1qb,down
Tbc1d10b_Gpr84,Tbc1d10b,Gpr84,down
Ss18_H2-M2,Ss18,H2-M2,down
Ppp2r3c_Gm11290,Ppp2r3c,Gm11290,none
Ss18_Aif1,Ss18,Aif1,down
Atp6v1b2_Sqstm1,Atp6v1b2,Sqstm1,up
Irf9_Ifi205,Irf9,Ifi205,down
Adnp_Sp3,Adnp,Sp3,none
Zfp710_Ldhb,Zfp710,Ldhb,none
Atp6ap2_Il7r,Atp6ap2,Il7r,up
Atf4_Gpnmb,Atf4,Gpnmb,none
Nol10_Uchl1,Nol10,Uchl1,down
Rngtt_Acer3,Rngtt,Acer3,up
Tpr_C1qb,Tpr,C1qb,down
Rpn1_Creld2,Rpn1,Creld2,up
Uvrag_Egln1,Uvrag,Egln1,none
Mphosph10_Il1rn,Mphosph10,Il1rn,none
Rnf40_Cd86,Rnf40,Cd86,up
Chmp6_Apoc2,Chmp6,Apoc2,none
Adnp_Glrx,Adnp,Glrx,down
Tardbp_C3,Tardbp,C3,down
Atp6ap2_Lmna,Atp6ap2,Lmna,none
Traf6_Aif1,Traf6,Aif1,up
Mideas_Cfb,Mideas,Cfb,none
Cwc25_Cd9,Cwc25,Cd9,up
Srsf1_Trem2,Srsf1,Trem2,up
Atf4_Slamf9,Atf4,Slamf9,down
Ube2h_Ms4a6b,Ube2h,Ms4a6b,none
Eftud2_Snhg4,Eftud2,Snhg4,up
Ppp2r2a_Fosl2,Ppp2r2a,Fosl2,down
Gins4_Ezr,Gins4,Ezr,down
Mbtps2_Manf,Mbtps2,Manf,down
Ccdc22_Lacc1,Ccdc22,Lacc1,none
Vps4b_Procr,Vps4b,Procr,up
Kin_Fxyd2,Kin,Fxyd2,up
Mcm4_AW554918,Mcm4,AW554918,down
Clp1_Aif1,Clp1,Aif1,down
Ptpn11_Alox5ap,Ptpn11,Alox5ap,down
Nelfb_1110038B12Rik,Nelfb,1110038B12Rik,none
Ppp6c_Cd86,Ppp6c,Cd86,none
Gins2_Zfc3h1,Gins2,Zfc3h1,none
Leng1_Acer3,Leng1,Acer3,none
Rpl26_Vps54,Rpl26,Vps54,none
Emc7_Ccl6,Emc7,Ccl6,down
Actr10_Ccrl2,Actr10,Ccrl2,up
Wdr3_Dock10,Wdr3,Dock10,none
Virma_Psma6,Virma,Psma6,down
Dync1h1_Ms4a6b,Dync1h1,Ms4a6b,down
Lamtor4_Il7r,Lamtor4,Il7r,up
Tyk2_Ifi44,Tyk2,Ifi44,down
Dda1_Tnc,Dda1,Tnc,up
Atf4_Ifih1,Atf4,Ifih1,none
Tyk2_Rsad2,Tyk2,Rsad2,down
Tbc1d10b_Creg1,Tbc1d10b,Creg1,none
Junb_Spryd7,Junb,Spryd7,none
Nelfa_Selenow,Nelfa,Selenow,down
Wdr3_Mthfd1,Wdr3,Mthfd1,none
Pafah1b1_Pmp22,Pafah1b1,Pmp22,none
Strap_Ckb,Strap,Ckb,down
Ly96_Cfp,Ly96,Cfp,none
Atf4_Adap2,Atf4,Adap2,down
Rack1_Gm12279,Rack1,Gm12279,none
Il10rb_H2-T22,Il10rb,H2-T22,none
Dpm2_Arhgap15,Dpm2,Arhgap15,none
Stag2_Ppfibp2,Stag2,Ppfibp2,up
Ticam2_Anxa3,Ticam2,Anxa3,up
Rpl10_Ccnd1,Rpl10,Ccnd1,none
Alg2_Anapc15,Alg2,Anapc15,none
Hspa4_Il1b,Hspa4,Il1b,none
Gins2_Ms4a6b,Gins2,Ms4a6b,down
Elavl1_Aopep,Elavl1,Aopep,down
Sart3_2810001A02Rik,Sart3,2810001A02Rik,up
Cwc25_Sqstm1,Cwc25,Sqstm1,none
Rbm14_Saa3,Rbm14,Saa3,down
Sephs1_Ybx3,Sephs1,Ybx3,down
Rbm14_Apbb2,Rbm14,Apbb2,none
Gins4_Lmna,Gins4,Lmna,up
Pafah1b1_Aif1,Pafah1b1,Aif1,down
Atp6v1e1_Dock10,Atp6v1e1,Dock10,up
Pten_Gpr84,Pten,Gpr84,none
Ncor2_Pf4,Ncor2,Pf4,up
Ddb1_Snhg1,Ddb1,Snhg1,none
Axin1_Met,Axin1,Met,down
Pafah1b1_Pilra,Pafah1b1,Pilra,down
Emc7_Pak1,Emc7,Pak1,up
Jtb_Sqstm1,Jtb,Sqstm1,up
Ppp2r2a_Lix1,Ppp2r2a,Lix1,none
Top3a_Fcgr2b,Top3a,Fcgr2b,down
Mideas_Bcl2a1d,Mideas,Bcl2a1d,down
Atxn7l3_Bcl2a1d,Atxn7l3,Bcl2a1d,down
Sephs1_Cyb5r1,Sephs1,Cyb5r1,none
Vps39_Hivep2,Vps39,Hivep2,none
Tpr_Fcgr2b,Tpr,Fcgr2b,down
Nipbl_Creg1,Nipbl,Creg1,up
Kin_Spryd7,Kin,Spryd7,none
Bloc1s1_Selenow,Bloc1s1,Selenow,down
Ube4b_Sh3yl1,Ube4b,Sh3yl1,none
Polr2i_Polr2a,Polr2i,Polr2a,up
Irf2_Intu,Irf2,Intu,up
Traf6_L2hgdh,Traf6,L2hgdh,none
Top3a_Ckb,Top3a,Ckb,none
Med20_Brd2,Med20,Brd2,up
Ikbkb_Atr,Ikbkb,Atr,none
Actl6a_Cacna1d,Actl6a,Cacna1d,up
Chmp3_Rsad2,Chmp3,Rsad2,up
Prpf40a_Cd300c2,Prpf40a,Cd300c2,up
Meaf6_Lztfl1,Meaf6,Lztfl1,down
Prpf40a_Cd63,Prpf40a,Cd63,up
Vps72_C3,Vps72,C3,down
Setd2_Lpp,Setd2,Lpp,up
Wdr61_Ebi3,Wdr61,Ebi3,down
Tsc2_Creg1,Tsc2,Creg1,up
Bag6_Mxd1,Bag6,Mxd1,up
Aip_Cd14,Aip,Cd14,up
Ube2m_Procr,Ube2m,Procr,up
Mafb_Pilra,Mafb,Pilra,up
Ogdh_Egln1,Ogdh,Egln1,up
Ncor2_Cpe,Ncor2,Cpe,down
Kin_Clvs1,Kin,Clvs1,none
Tardbp_Dnah12,Tardbp,Dnah12,none
Smarcd2_Saa3,Smarcd2,Saa3,down
Cog5_Traf1,Cog5,Traf1,none
Cct5_Tuba1c,Cct5,Tuba1c,up
Trrap_Ifit3,Trrap,Ifit3,up
Ippk_Uchl1,Ippk,Uchl1,down
Hsp90b1_S100a10,Hsp90b1,S100a10,none
Ikbkb_Bcl2a1d,Ikbkb,Bcl2a1d,down
Nrbp1_Cd68,Nrbp1,Cd68,none
Tut1_2810001A02Rik,Tut1,2810001A02Rik,up
Emc3_Trem2,Emc3,Trem2,none
Cog3_Mthfs,Cog3,Mthfs,none
Hsp90ab1_Mir22hg,Hsp90ab1,Mir22hg,up
Prpf40a_Cyb5r1,Prpf40a,Cyb5r1,none
Traf3_Pgk1,Traf3,Pgk1,none
Nckap1l_Ddx10,Nckap1l,Ddx10,down
Strap_Blnk,Strap,Blnk,down
Ttc1_Ms4a6b,Ttc1,Ms4a6b,down
Ctdspl2_Aif1,Ctdspl2,Aif1,down
Nprl2_Ralgds,Nprl2,Ralgds,down
Ash2l_AA467197,Ash2l,AA467197,down
Pten_Iqgap2,Pten,Iqgap2,down
Psmg4_Sqstm1,Psmg4,Sqstm1,up
Uvrag_C3,Uvrag,C3,down
Sec63_C1qb,Sec63,C1qb,none
Chd4_Tlr4,Chd4,Tlr4,none
Emc7_Gpnmb,Emc7,Gpnmb,none
Dda1_Inpp5f,Dda1,Inpp5f,up
Abi1_Gclm,Abi1,Gclm,down
Ikbkb_Ifit3,Ikbkb,Ifit3,none
Mtor_Saa3,Mtor,Saa3,none
Nipbl_Sertad3,Nipbl,Sertad3,none
Sephs1_Lst1,Sephs1,Lst1,down
Tubg1_Lztfl1,Tubg1,Lztfl1,down
Dido1_Prkcg,Dido1,Prkcg,up
Usp7_Kctd12,Usp7,Kctd12,up
Meaf6_Traf1,Meaf6,Traf1,down
Ddx18_Ckb,Ddx18,Ckb,down
Leo1_Tent5a,Leo1,Tent5a,up
Dnajc8_BC005537,Dnajc8,BC005537,none
Vhl_Higd1a,Vhl,Higd1a,up
Sfpq_Slfn1,Sfpq,Slfn1,up
Mettl3_Ifi27,Mettl3,Ifi27,none
Tirap_Psma6,Tirap,Psma6,down
Tnfrsf1a_Lmo4,Tnfrsf1a,Lmo4,down
Rrp1_Manf,Rrp1,Manf,down
Ubr4_Lmna,Ubr4,Lmna,up
Abi1_Mier3,Abi1,Mier3,up
Yeats4_Krtcap2,Yeats4,Krtcap2,none
Vps4b_Sh2b3,Vps4b,Sh2b3,none
Mafb_C1qb,Mafb,C1qb,down
Chd4_Clec4d,Chd4,Clec4d,none
Ankrd11_Hk2,Ankrd11,Hk2,down
Dnajc8_Tmed1,Dnajc8,Tmed1,down
Rps19_Cd9,Rps19,Cd9,down
Dcaf13_Ctsk,Dcaf13,Ctsk,none
Smc3_Prdx5,Smc3,Prdx5,down
Smg5_Slfn1,Smg5,Slfn1,none
Nelfa_Ftl1,Nelfa,Ftl1,up
Becn1_Gpnmb,Becn1,Gpnmb,up
Dcaf13_Aif1,Dcaf13,Aif1,none
Trrap_Trim12c,Trrap,Trim12c,up
Myd88_Ckb,Myd88,Ckb,none
Rrp1_Ifitm2,Rrp1,Ifitm2,none
Kras_Gadd45b,Kras,Gadd45b,up
Kdsr_Hspa1b,Kdsr,Hspa1b,up
Nelfa_Pf4,Nelfa,Pf4,up
Phb2_Cox6a2,Phb2,Cox6a2,up
Dcaf13_C3,Dcaf13,C3,none
Cct5_Ms4a6b,Cct5,Ms4a6b,down
Med25_Tpi1,Med25,Tpi1,up
Zbtb17_Ambra1,Zbtb17,Ambra1,down
Dnajc8_Cdkl3,Dnajc8,Cdkl3,up
Ctdspl2_Xylt2,Ctdspl2,Xylt2,down
Orc4_Oasl1,Orc4,Oasl1,down
Hspa4_Map4k3,Hspa4,Map4k3,down
Cct4_Nampt,Cct4,Nampt,none
Tirap_Cd69,Tirap,Cd69,none
Dohh_Kctd12,Dohh,Kctd12,none
Myc_Ftl1-ps1,Myc,Ftl1-ps1,down
Ube2h_Ptma,Ube2h,Ptma,down
Slc33a1_Ostc,Slc33a1,Ostc,up
Nckap1l_Ms4a6b,Nckap1l,Ms4a6b,none
Ncbp1_Creld2,Ncbp1,Creld2,none
Psmd13_Pcdh7,Psmd13,Pcdh7,up
Emc7_Pf4,Emc7,Pf4,down
Dohh_Gbp2,Dohh,Gbp2,up
Mcm4_Cd36,Mcm4,Cd36,none
Tbc1d10b_Lgals3,Tbc1d10b,Lgals3,up
Tyk2_Ms4a4c,Tyk2,Ms4a4c,down
